Date,Time,Voltage,Current,Power
10/26/20,15: 49: 14,148.1,0.17,17
10/26/20,15: 49: 14,148.0,0.17,18
10/26/20,15: 49: 14,148.0,0.17,18
10/26/20,15: 49: 14,151.3,0.17,18
10/26/20,15: 49: 14,151.3,0.16,18
10/26/20,15: 49: 14,151.3,0.16,17
10/26/20,15: 49: 14,155.9,0.16,18
10/26/20,15: 49: 14,155.9,0.21,25
10/26/20,15: 49: 14,155.9,0.21,24
10/26/20,15: 49: 14,158.5,0.21,20
10/26/20,15: 49: 14,158.5,0.19,22
10/26/20,15: 49: 14,158.9,0.19,22
10/26/20,15: 49: 14,158.9,0.17,19
10/26/20,15: 49: 14,158.9,0.17,19
10/26/20,15: 49: 14,155.3,0.17,18
10/26/20,15: 49: 14,155.3,0.18,19
10/26/20,15: 49: 14,155.3,0.18,27
10/26/20,15: 49: 14,154.7,0.18,18
10/26/20,15: 49: 14,154.7,0.17,20
10/26/20,15: 49: 14,156.5,0.17,20
10/26/20,15: 49: 14,156.5,0.2,22
10/26/20,15: 49: 14,156.5,0.2,23
10/26/20,15: 49: 14,157.6,0.2,23
10/26/20,15: 49: 14,157.6,0.19,21
10/26/20,15: 49: 14,157.6,0.19,19
10/26/20,15: 49: 14,158.0,0.19,19
10/26/20,15: 49: 14,158.0,0.19,17
10/26/20,15: 49: 14,155.0,0.19,17
10/26/20,15: 49: 14,155.0,0.16,17
10/26/20,15: 49: 14,155.0,0.16,9
10/26/20,15: 49: 14,154.7,0.16,8
10/26/20,15: 49: 14,154.7,0.09,9
10/26/20,15: 49: 14,154.7,0.09,8
10/26/20,15: 49: 14,154.9,0.09,9
10/26/20,15: 49: 14,154.9,0.09,8
10/26/20,15: 49: 14,156.8,0.09,8
10/26/20,15: 49: 14,156.8,0.1,9
10/26/20,15: 49: 14,156.8,0.1,10
10/26/20,15: 49: 14,157.1,0.1,9
10/26/20,15: 49: 14,157.1,0.1,9
10/26/20,15: 49: 14,157.1,0.1,14
10/26/20,15: 49: 14,156.3,0.1,9
10/26/20,15: 49: 14,156.3,0.11,11
10/26/20,15: 49: 14,154.6,0.11,11
10/26/20,15: 49: 14,154.6,0.09,8
10/26/20,15: 49: 14,154.6,0.09,9
10/26/20,15: 49: 14,156.8,0.09,10
10/26/20,15: 49: 14,156.8,0.12,8
10/26/20,15: 49: 14,156.8,0.12,10
10/26/20,15: 49: 14,155.9,0.12,9
10/26/20,15: 49: 14,155.9,0.09,9
10/26/20,15: 49: 14,155.0,0.09,9
10/26/20,15: 49: 14,155.0,0.09,8
10/26/20,15: 49: 14,155.0,0.09,8
10/26/20,15: 49: 14,156.1,0.09,8
10/26/20,15: 49: 14,156.1,0.1,8
10/26/20,15: 49: 14,156.1,0.1,9
10/26/20,15: 49: 14,154.1,0.1,8
10/26/20,15: 49: 14,154.1,0.09,9
10/26/20,15: 49: 14,155.6,0.09,9
10/26/20,15: 49: 14,155.6,0.09,8
10/26/20,15: 49: 14,155.6,0.09,9
10/26/20,15: 49: 14,155.7,0.09,8
10/26/20,15: 49: 14,155.7,0.1,9
10/26/20,15: 49: 14,155.7,0.1,9
10/26/20,15: 49: 14,157.4,0.1,8
10/26/20,15: 49: 14,157.4,0.14,12
10/26/20,15: 49: 14,153.2,0.14,12
10/26/20,15: 49: 14,153.2,0.09,8
10/26/20,15: 49: 14,153.2,0.09,8
10/26/20,15: 49: 14,141.4,0.09,9
10/26/20,15: 49: 14,141.4,0.09,8
10/26/20,15: 49: 14,141.4,0.09,8
10/26/20,15: 49: 14,155.3,0.09,9
10/26/20,15: 49: 14,155.3,0.1,8
10/26/20,15: 49: 14,148.6,0.1,8
10/26/20,15: 49: 14,148.6,0.11,9
10/26/20,15: 49: 14,148.6,0.11,9
10/26/20,15: 49: 14,145.6,0.11,9
10/26/20,15: 49: 14,145.6,0.1,10
10/26/20,15: 49: 14,145.6,0.1,8
10/26/20,15: 49: 14,145.9,0.1,9
10/26/20,15: 49: 14,145.9,0.1,9
10/26/20,15: 49: 14,145.4,0.1,9
10/26/20,15: 49: 14,145.4,0.1,9
10/26/20,15: 49: 14,145.4,0.1,10
10/26/20,15: 49: 14,148.3,0.1,8
10/26/20,15: 49: 14,148.3,0.1,9
10/26/20,15: 49: 14,148.3,0.1,17
10/26/20,15: 49: 14,146.5,0.1,18
10/26/20,15: 49: 14,146.5,0.17,17
10/26/20,15: 49: 14,147.9,0.17,17
10/26/20,15: 49: 14,147.9,0.17,17
10/26/20,15: 49: 14,147.9,0.17,17
10/26/20,15: 49: 14,146.0,0.17,19
10/26/20,15: 49: 14,146.0,0.18,18
10/26/20,15: 49: 14,146.0,0.18,17
10/26/20,15: 49: 14,141.3,0.18,18
10/26/20,15: 49: 14,141.3,0.21,18
10/26/20,15: 49: 14,143.9,0.21,18
10/26/20,15: 49: 14,143.9,0.19,18
10/26/20,15: 49: 14,143.9,0.19,18
10/26/20,15: 49: 14,148.3,0.19,18
10/26/20,15: 49: 14,148.3,0.17,17
10/26/20,15: 49: 14,148.3,0.17,17
10/26/20,15: 49: 14,147.2,0.17,18
10/26/20,15: 49: 14,147.2,0.18,18
10/26/20,15: 49: 14,149.8,0.18,18
10/26/20,15: 49: 14,149.8,0.18,19
10/26/20,15: 49: 14,149.8,0.18,18
10/26/20,15: 49: 14,146.2,0.18,19
10/26/20,15: 49: 14,146.2,0.19,20
10/26/20,15: 49: 14,146.2,0.19,19
10/26/20,15: 49: 14,147.5,0.19,19
10/26/20,15: 49: 14,147.5,0.17,17
10/26/20,15: 49: 14,146.5,0.17,17
10/26/20,15: 49: 14,146.5,0.18,17
10/26/20,15: 49: 14,146.5,0.18,18
10/26/20,15: 49: 14,155.9,0.18,19
